run_id,year,population,gini,morale,yield,edu_rate,tax_rate
Sample_0.025_0.075,68,36317,0.12656468068357918,508.21,885708,0.025,0.075
Sample_0.025_0.075,69,38619,0.12637254171344048,522.43,952159,0.025,0.075
Sample_0.025_0.075,70,41022,0.12624323251187497,536.76,1022307,0.025,0.075
Sample_0.025_0.075,71,43523,0.12628747068325974,551.57,1096129,0.025,0.075
Sample_0.025_0.075,72,46119,0.1264163738023203,566.71,1173597,0.025,0.075
Sample_0.025_0.075,73,48805,0.1262474498695083,581.95,1254622,0.025,0.075
Sample_0.025_0.075,74,51574,0.12592305772604617,597.22,1339047,0.025,0.075
Sample_0.025_0.075,75,54418,0.12560186946018637,613.15,1426675,0.025,0.075
Sample_0.025_0.075,76,57329,0.12542188282637157,628.96,1517300,0.025,0.075
Sample_0.025_0.075,77,60298,0.12514970905288303,645.28,1610678,0.025,0.075
Sample_0.025_0.075,78,63314,0.12483484161529956,661.63,1706491,0.025,0.075
Sample_0.025_0.075,79,66367,0.12469486112838357,678.25,1804440,0.025,0.075
Sample_0.025_0.075,80,69444,0.12431623553191695,694.97,1904123,0.025,0.075
Sample_0.025_0.075,81,72534,0.12370626495204085,712.16,2005188,0.025,0.075
Sample_0.025_0.075,82,75625,0.1232766809459267,729.23,2107239,0.025,0.075
Sample_0.025_0.075,83,78704,0.12294359705896252,746.56,2209840,0.025,0.075
Sample_0.025_0.075,84,81759,0.12229139424137969,764.09,2312574,0.025,0.075
Sample_0.025_0.075,85,84780,0.12200690022723659,781.74,2415082,0.025,0.075
Sample_0.025_0.075,86,87755,0.12152499297637265,799.78,2516931,0.025,0.075
Sample_0.025_0.075,87,90675,0.1208754958372178,817.77,2617778,0.025,0.075
Sample_0.025_0.075,88,93531,0.12018989514949308,836.01,2717277,0.025,0.075
Sample_0.025_0.075,89,96314,0.11963473529746471,854.34,2815077,0.025,0.075
Sample_0.025_0.075,90,99019,0.11891671018200389,872.86,2910955,0.025,0.075
Sample_0.025_0.075,91,101639,0.11835051799290253,891.56,3004622,0.025,0.075
Sample_0.025_0.075,92,104171,0.11756726236768511,910.57,3095921,0.025,0.075
Sample_0.025_0.075,93,106611,0.11695988236649146,929.56,3184662,0.025,0.075
Sample_0.025_0.075,94,108957,0.11627643051343872,948.84,3270724,0.025,0.075
Sample_0.025_0.075,95,111209,0.11537106770863637,968.03,3354055,0.025,0.075
Sample_0.025_0.075,96,113365,0.11447642839723216,987.4,3434539,0.025,0.075
Sample_0.025_0.075,97,115426,0.11357615731397974,1006.67,3512161,0.025,0.075
Sample_0.025_0.075,98,117393,0.11274885589521433,1026.32,3586914,0.025,0.075
Sample_0.025_0.075,99,119269,0.11191997400822773,1045.88,3658859,0.025,0.075
Sample_0.025_0.075,100,121056,0.11096678259989456,1065.62,3728028,0.025,0.075
Sample_0.025_0.075,101,122757,0.11011324211941931,1085.51,3794491,0.025,0.075
Sample_0.025_0.075,102,124376,0.10924351470040561,1105.57,3858356,0.025,0.075
Sample_0.025_0.075,103,125916,0.10835306577205861,1125.61,3919697,0.025,0.075
Sample_0.025_0.075,104,127381,0.10748122871463983,1145.89,3978630,0.025,0.075
Sample_0.025_0.075,105,128775,0.10655361436196231,1166.11,4035270,0.025,0.075
Sample_0.025_0.075,106,130102,0.10569940165368652,1186.33,4089737,0.025,0.075
Sample_0.025_0.075,107,131365,0.10485658593063274,1206.76,4142118,0.025,0.075
Sample_0.025_0.075,108,132568,0.10398998682280203,1227.2,4192536,0.025,0.075
Sample_0.025_0.075,109,133715,0.10311747490748946,1247.89,4241117,0.025,0.075
Sample_0.025_0.075,110,134810,0.10225020034263932,1268.53,4287991,0.025,0.075
Sample_0.025_0.075,111,135856,0.10135026054224361,1289.26,4333250,0.025,0.075
Sample_0.025_0.075,112,136856,0.1005382160622379,1310.21,4376992,0.025,0.075
Sample_0.025_0.075,113,137814,0.09967567053698323,1330.99,4419348,0.025,0.075
Sample_0.025_0.075,114,138732,0.0988944517643442,1352.07,4460382,0.025,0.075
Sample_0.025_0.075,115,139614,0.0981193504211526,1373.06,4500230,0.025,0.075
Sample_0.025_0.075,116,140462,0.09729357398125948,1394.1,4538956,0.025,0.075
Sample_0.025_0.075,117,141278,0.09654562867557348,1415.29,4576626,0.025,0.075
Sample_0.025_0.075,118,142065,0.09570993157184748,1436.4,4613342,0.025,0.075
Sample_0.025_0.075,119,142824,0.09494717037854139,1457.8,4649135,0.025,0.075
Sample_0.025_0.075,120,143558,0.09415204368866559,1479.14,4684109,0.025,0.075
Sample_0.025_0.075,121,144269,0.09339153746640716,1500.68,4718333,0.025,0.075
Sample_0.025_0.075,122,144958,0.09259783755250206,1522.19,4751839,0.025,0.075
Sample_0.025_0.075,123,145627,0.09182832946212183,1543.73,4784697,0.025,0.075
Sample_0.025_0.075,124,146277,0.09106724238070996,1565.34,4816939,0.025,0.075
Sample_0.025_0.075,125,146909,0.09028722612663387,1587.18,4848599,0.025,0.075
Sample_0.025_0.075,126,147526,0.08962996600716044,1609.03,4879787,0.025,0.075
Sample_0.025_0.075,127,148128,0.08890471557480706,1630.97,4910498,0.025,0.075
Sample_0.025_0.075,128,148716,0.08821653761025217,1652.93,4940768,0.025,0.075
Sample_0.025_0.075,129,149290,0.08759064227163349,1675.05,4970592,0.025,0.075
Sample_0.025_0.075,130,149852,0.08695416860119232,1697.2,5000045,0.025,0.075
Sample_0.025_0.075,131,150403,0.08628633577160283,1719.39,5029162,0.025,0.075
Sample_0.025_0.075,132,150943,0.08564343116435413,1741.65,5057940,0.025,0.075
Sample_0.025_0.075,133,151473,0.085046555352708,1764.08,5086415,0.025,0.075
Sample_0.025_0.075,134,151994,0.08442102912923066,1786.43,5114624,0.025,0.075
Sample_0.025_0.075,135,152506,0.08379261577048158,1808.91,5142564,0.025,0.075
Sample_0.025_0.075,136,153009,0.08318167355211381,1831.59,5170234,0.025,0.075
Sample_0.025_0.075,137,153504,0.08262965601227701,1854.13,5197670,0.025,0.075
Sample_0.025_0.075,138,153992,0.08209411325599336,1876.87,5224909,0.025,0.075
Sample_0.025_0.075,139,154472,0.08157685465531328,1899.63,5251912,0.025,0.075
Sample_0.025_0.075,140,154946,0.0810489236653007,1922.41,5278753,0.025,0.075
Sample_0.025_0.075,141,155413,0.08047422999531939,1945.32,5305394,0.025,0.075
Sample_0.025_0.075,142,155874,0.07994718540284373,1968.06,5331870,0.025,0.075
Sample_0.025_0.075,143,156328,0.07944470168310214,1991.01,5358143,0.025,0.075
Sample_0.025_0.075,144,156776,0.07897743869537188,2014.04,5384249,0.025,0.075
Sample_0.025_0.075,145,157219,0.07848412869644128,2037.21,5410227,0.025,0.075
Sample_0.025_0.075,146,157657,0.07798024720033792,2060.41,5436076,0.025,0.075
Sample_0.025_0.075,147,158089,0.07756221604210412,2083.68,5461754,0.025,0.075
Sample_0.025_0.075,148,158517,0.0770598774012059,2107.08,5487341,0.025,0.075
Sample_0.025_0.075,149,158940,0.07660705169026372,2130.47,5512795,0.025,0.075
Sample_0.025_0.075,150,159358,0.07617018622559835,2153.84,5538116,0.025,0.075
Sample_0.025_0.075,151,159772,0.0757353890786816,2177.38,5563342,0.025,0.075
Sample_0.025_0.075,152,160182,0.07529990330928316,2200.94,5588473,0.025,0.075
Sample_0.025_0.075,153,160587,0.07486114808345845,2224.54,5613467,0.025,0.075
Sample_0.025_0.075,154,160988,0.07443854299365205,2248.19,5638363,0.025,0.075
Sample_0.025_0.075,155,161385,0.07399577639391297,2271.98,5663161,0.025,0.075
Sample_0.025_0.075,156,161778,0.0736369938197905,2295.84,5687860,0.025,0.075
Sample_0.025_0.075,157,162168,0.07319518807025926,2319.75,5712500,0.025,0.075
Sample_0.025_0.075,158,162554,0.07282000439382696,2343.75,5737039,0.025,0.075
Sample_0.025_0.075,159,162937,0.07242541672951752,2367.68,5761517,0.025,0.075
Sample_0.025_0.075,160,163316,0.0720705854324426,2391.83,5785893,0.025,0.075
Sample_0.025_0.075,161,163692,0.07170067790448464,2415.93,5810207,0.025,0.075
Sample_0.025_0.075,162,164064,0.0713301330613958,2440.18,5834416,0.025,0.075
Sample_0.025_0.075,163,164433,0.07097170903852423,2464.46,5858562,0.025,0.075
Sample_0.025_0.075,164,164799,0.07063503844420449,2488.65,5882644,0.025,0.075
Sample_0.025_0.075,165,165162,0.07026913466692486,2512.96,5906661,0.025,0.075
Sample_0.025_0.075,166,165522,0.06987926833954328,2537.42,5930612,0.025,0.075
Sample_0.025_0.075,167,165879,0.06953711892673287,2561.95,5954497,0.025,0.075
Sample_0.025_0.075,168,166233,0.06921177962727398,2586.49,5978315,0.025,0.075
Sample_0.025_0.075,169,166584,0.06885936246787638,2611.23,6002066,0.025,0.075
Sample_0.025_0.075,170,166932,0.0685384065657706,2635.87,6025749,0.025,0.075
Sample_0.025_0.075,171,167278,0.06821355713075694,2660.63,6049404,0.025,0.075
Sample_0.025_0.075,172,167621,0.06791346128510489,2685.5,6072991,0.025,0.075
Sample_0.025_0.075,173,167961,0.06763045476205254,2710.24,6096507,0.025,0.075
Sample_0.025_0.075,174,168298,0.06735306305061362,2735.1,6119953,0.025,0.075
Sample_0.025_0.075,175,168633,0.06705982257695786,2760.07,6143370,0.025,0.075
Sample_0.025_0.075,176,168965,0.06678882819182963,2785.05,6166716,0.025,0.075
Sample_0.025_0.075,177,169295,0.06649566781618788,2810.0,6190031,0.025,0.075
Sample_0.025_0.075,178,169622,0.0662704075993612,2835.16,6213274,0.025,0.075
Sample_0.025_0.075,179,169947,0.06598072476917283,2860.37,6236486,0.025,0.075
Sample_0.025_0.075,180,170269,0.065749283810421,2885.86,6259624,0.025,0.075
Sample_0.025_0.075,181,170590,0.0654655282867076,2911.13,6282772,0.025,0.075
Sample_0.025_0.075,182,170908,0.06518316843906935,2936.6,6305845,0.025,0.075
Sample_0.025_0.075,183,171224,0.0649256348646321,2962.02,6328886,0.025,0.075
Sample_0.025_0.075,184,171538,0.06467070173998302,2987.59,6351894,0.025,0.075
Sample_0.025_0.075,185,171850,0.06444584993097191,3013.23,6374868,0.025,0.075
Sample_0.025_0.075,186,172159,0.06419134235673019,3038.94,6397765,0.025,0.075
Sample_0.025_0.075,187,172467,0.06395070193419183,3064.83,6420670,0.025,0.075
Sample_0.025_0.075,188,172773,0.06373879457529519,3090.63,6443541,0.025,0.075
Sample_0.025_0.075,189,173077,0.06351533574097701,3116.58,6466376,0.025,0.075
Sample_0.025_0.075,190,173379,0.06330989280871879,3142.52,6489176,0.025,0.075
Sample_0.025_0.075,191,173679,0.06305089288714161,3168.68,6511939,0.025,0.075
Sample_0.025_0.075,192,173977,0.0628216915343578,3194.8,6534667,0.025,0.075
Sample_0.025_0.075,193,174273,0.06257844097708243,3220.89,6557357,0.025,0.075
Sample_0.025_0.075,194,174567,0.06233901544999587,3247.03,6580010,0.025,0.075
Sample_0.025_0.075,195,174859,0.06209680883347146,3273.16,6602626,0.025,0.075
Sample_0.025_0.075,196,175149,0.06189429092697263,3299.57,6625203,0.025,0.075
Sample_0.025_0.075,197,175438,0.061680084411770864,3325.94,6647786,0.025,0.075
Sample_0.025_0.075,198,175725,0.061455512120453415,3352.34,6670330,0.025,0.075
Sample_0.025_0.075,199,176010,0.061238430719529724,3379.02,6692835,0.025,0.075
Sample_0.025_0.075,200,176294,0.06102534407558724,3405.62,6715344,0.025,0.075
Sample_0.025_0.075,201,176576,0.06080712044982439,3432.16,6737813,0.025,0.075
Sample_0.025_0.075,202,176856,0.06059380795683378,3458.9,6760242,0.025,0.075
Sample_0.025_0.075,203,177134,0.060385743938562886,3485.7,6782630,0.025,0.075
Sample_0.025_0.075,204,177411,0.06018800978801497,3512.44,6805022,0.025,0.075
Sample_0.025_0.075,205,177686,0.059970206331894316,3539.29,6827372,0.025,0.075
Sample_0.025_0.075,206,177960,0.05973560098504227,3566.3,6849725,0.025,0.075
Sample_0.025_0.075,207,178232,0.05952548089041909,3593.25,6872036,0.025,0.075
Sample_0.025_0.075,208,178503,0.05934520340497529,3620.35,6894349,0.025,0.075
Sample_0.025_0.075,209,178772,0.05916070158033282,3647.31,6916620,0.025,0.075
Sample_0.025_0.075,210,179039,0.058943900273931815,3674.58,6938848,0.025,0.075
Sample_0.025_0.075,211,179305,0.058760540471206824,3701.94,6961076,0.025,0.075
Sample_0.025_0.075,212,179570,0.05860435856850721,3729.3,6983306,0.025,0.075
Sample_0.025_0.075,213,179833,0.05841396960765555,3756.82,7005492,0.025,0.075
Sample_0.025_0.075,214,180095,0.058242599558221864,3784.31,7027679,0.025,0.075
Sample_0.025_0.075,215,180356,0.05809673302237961,3811.76,7049865,0.025,0.075
Sample_0.025_0.075,216,180615,0.057934576846839114,3839.45,7072007,0.025,0.075
Sample_0.025_0.075,217,180873,0.05778049047318001,3867.22,7094149,0.025,0.075
Sample_0.025_0.075,218,181129,0.057611002732325334,3894.91,7116245,0.025,0.075
Sample_0.025_0.075,219,181384,0.05742397539637012,3922.77,7138341,0.025,0.075
Sample_0.025_0.075,220,181638,0.057289474298328535,3950.75,7160436,0.025,0.075
Sample_0.025_0.075,221,181891,0.05713597580140228,3978.48,7182529,0.025,0.075
Sample_0.025_0.075,222,182142,0.0569482352184576,4006.62,7204576,0.025,0.075
Sample_0.025_0.075,223,182392,0.056764612117436775,4034.63,7226622,0.025,0.075
Sample_0.025_0.075,224,182641,0.05661811684367546,4062.8,7248665,0.025,0.075
Sample_0.025_0.075,225,182888,0.0564456812955656,4090.85,7270661,0.025,0.075
Sample_0.025_0.075,226,183134,0.056265382531945685,4119.06,7292655,0.025,0.075
Sample_0.025_0.075,227,183379,0.05611418764832221,4147.37,7314646,0.025,0.075
Sample_0.025_0.075,228,183623,0.055966928685792894,4175.73,7336635,0.025,0.075
Sample_0.025_0.075,229,183865,0.05581108230687315,4204.15,7358575,0.025,0.075
Sample_0.025_0.075,230,184106,0.0556567597457196,4232.51,7380511,0.025,0.075
Sample_0.025_0.075,231,184346,0.05553818319093473,4261.01,7402445,0.025,0.075
Sample_0.025_0.075,232,184585,0.05538029247899745,4289.82,7424374,0.025,0.075
Sample_0.025_0.075,233,184823,0.05522466400524184,4318.54,7446300,0.025,0.075
Sample_0.025_0.075,234,185060,0.05508965288979217,4347.3,7468222,0.025,0.075
Sample_0.025_0.075,235,185296,0.05490949125710598,4376.11,7490140,0.025,0.075
Sample_0.025_0.075,236,185531,0.054782312097959585,4404.94,7512054,0.025,0.075
Sample_0.025_0.075,237,185764,0.05464064986135675,4433.73,7533916,0.025,0.075
Sample_0.025_0.075,238,185996,0.05450781911417946,4462.57,7555774,0.025,0.075
Sample_0.025_0.075,239,186227,0.054377019293167184,4491.51,7577626,0.025,0.075
Sample_0.025_0.075,240,186457,0.05424873544660058,4520.68,7599474,0.025,0.075
Sample_0.025_0.075,241,186686,0.0541247696425895,4549.83,7621316,0.025,0.075
Sample_0.025_0.075,242,186914,0.054003446675318534,4579.21,7643152,0.025,0.075
Sample_0.025_0.075,243,187141,0.053877399565358086,4608.4,7664983,0.025,0.075
Sample_0.025_0.075,244,187367,0.05372893140912538,4637.55,7686807,0.025,0.075
Sample_0.025_0.075,245,187592,0.053584399242168734,4666.85,7708626,0.025,0.075
Sample_0.025_0.075,246,187816,0.053474035478264126,4696.51,7730438,0.025,0.075
Sample_0.025_0.075,247,188039,0.05333672271835921,4725.99,7752243,0.025,0.075
Sample_0.025_0.075,248,188261,0.053190154831224135,4755.53,7774042,0.025,0.075
Sample_0.025_0.075,249,188482,0.05307646881874151,4785.27,7795834,0.025,0.075
Sample_0.025_0.075,250,188702,0.052952126226963214,4815.08,7817619,0.025,0.075
Sample_0.025_0.075,251,188921,0.052835221796669884,4844.87,7839396,0.025,0.075
Sample_0.025_0.075,252,189139,0.05273466008299055,4874.65,7861166,0.025,0.075
Sample_0.025_0.075,253,189356,0.05262367622587982,4904.6,7882928,0.025,0.075
Sample_0.025_0.075,254,189572,0.052502893214184,4934.53,7904683,0.025,0.075
Sample_0.025_0.075,255,189787,0.05237252236124634,4964.34,7926429,0.025,0.075
Sample_0.025_0.075,256,190001,0.05222094418090095,4994.34,7948167,0.025,0.075
Sample_0.025_0.075,257,190214,0.0521016967213801,5024.43,7969896,0.025,0.075
Sample_0.025_0.075,258,190426,0.051974313629490565,5054.63,7991617,0.025,0.075
Sample_0.025_0.075,259,190638,0.05187572774131466,5085.1,8013377,0.025,0.075
Sample_0.025_0.075,260,190849,0.05176795308393056,5115.51,8035129,0.025,0.075
Sample_0.025_0.075,261,191059,0.05166275425564093,5146.04,8056871,0.025,0.075
Sample_0.025_0.075,262,191268,0.0515369363492344,5176.5,8078604,0.025,0.075
Sample_0.025_0.075,263,191477,0.05141317036099946,5207.22,8100376,0.025,0.075
Sample_0.025_0.075,264,191685,0.05132427736025913,5237.88,8122138,0.025,0.075
Sample_0.025_0.075,265,191892,0.051219950215660504,5268.61,8143891,0.025,0.075
Sample_0.025_0.075,266,192098,0.05112749915075687,5299.3,8165634,0.025,0.075
Sample_0.025_0.075,267,192303,0.051030758127279086,5330.07,8187367,0.025,0.075
Sample_0.025_0.075,268,192507,0.05093138219468751,5361.01,8209089,0.025,0.075
Sample_0.025_0.075,269,192711,0.050800279830084616,5391.87,8230850,0.025,0.075
Sample_0.025_0.075,270,192914,0.05070849932544341,5423.11,8252600,0.025,0.075
Sample_0.025_0.075,271,193116,0.050582212301303775,5454.33,8274340,0.025,0.075
Sample_0.025_0.075,272,193318,0.05048319451522931,5485.37,8296118,0.025,0.075
Sample_0.025_0.075,273,193519,0.0503998973127846,5516.47,8317885,0.025,0.075
Sample_0.025_0.075,274,193719,0.05030093741331876,5547.66,8339641,0.025,0.075
Sample_0.025_0.075,275,193918,0.05021797361742153,5578.9,8361385,0.025,0.075
Sample_0.025_0.075,276,194116,0.05009734133563226,5610.45,8383118,0.025,0.075
Sample_0.025_0.075,277,194313,0.05000100541587438,5641.68,8404839,0.025,0.075
Sample_0.025_0.075,278,194510,0.04992687175097399,5673.36,8426598,0.025,0.075
Sample_0.025_0.075,279,194706,0.04981682518978192,5705.05,8448345,0.025,0.075
Sample_0.025_0.075,280,194901,0.04973994345240995,5736.86,8470080,0.025,0.075
Sample_0.025_0.075,281,195096,0.04966919727070018,5768.76,8491852,0.025,0.075
Sample_0.025_0.075,282,195290,0.049582541898807175,5800.45,8513611,0.025,0.075
Sample_0.025_0.075,283,195483,0.049496171004086875,5832.32,8535358,0.025,0.075
Sample_0.025_0.075,284,195676,0.04939180244608821,5864.44,8557143,0.025,0.075
Sample_0.025_0.075,285,195868,0.04931402099733995,5896.44,8578914,0.025,0.075
Sample_0.025_0.075,286,196060,0.04922362526965984,5928.52,8600723,0.025,0.075
Sample_0.025_0.075,287,196251,0.04913715360056048,5960.61,8622519,0.025,0.075
Sample_0.025_0.075,288,196441,0.04904826719784672,5992.91,8644301,0.025,0.075
Sample_0.025_0.075,289,196630,0.04893977356506918,6025.22,8666069,0.025,0.075
Sample_0.025_0.075,290,196819,0.04887695682313775,6057.32,8687875,0.025,0.075
Sample_0.025_0.075,291,197007,0.048786555245168506,6089.62,8709667,0.025,0.075
Sample_0.025_0.075,292,197194,0.04870668954798463,6122.1,8731444,0.025,0.075
Sample_0.025_0.075,293,197381,0.04862401374651193,6154.71,8753259,0.025,0.075
Sample_0.025_0.075,294,197567,0.04854665865521457,6187.43,8775059,0.025,0.075
Sample_0.025_0.075,295,197752,0.048462573072732384,6220.2,8796845,0.025,0.075
Sample_0.025_0.075,296,197937,0.04837681922441761,6253.09,8818667,0.025,0.075
Sample_0.025_0.075,297,198121,0.04829882141815278,6285.86,8840474,0.025,0.075
Sample_0.025_0.075,298,198305,0.048218191894058515,6318.5,8862318,0.025,0.075
Sample_0.025_0.075,299,198488,0.04813295478907009,6351.21,8884147,0.025,0.075
Sample_0.025_0.075,300,198670,0.048050511616153146,6384.19,8905961,0.025,0.075
Sample_0.025_0.112,1,1000,0.03792489818410805,50.56,12682,0.025,0.112
Sample_0.025_0.112,2,1026,0.0567809345864847,51.96,13085,0.025,0.112
Sample_0.025_0.112,3,1054,0.06889339296088015,53.22,13521,0.025,0.112
Sample_0.025_0.112,4,1083,0.07786939943054128,54.74,13974,0.025,0.112
Sample_0.025_0.112,5,1114,0.08346777669390648,56.33,14460,0.025,0.112
Sample_0.025_0.112,6,1147,0.0886927932110535,58.14,14980,0.025,0.112
Sample_0.025_0.112,7,1182,0.0949863333212082,60.14,15535,0.025,0.112
Sample_0.025_0.112,8,1219,0.09812869658863344,62.15,16123,0.025,0.112
Sample_0.025_0.112,9,1258,0.10300468512613947,64.45,16747,0.025,0.112
Sample_0.025_0.112,10,1300,0.10525356402745767,66.7,17423,0.025,0.112
Sample_0.025_0.112,11,1344,0.10753121083639638,69.19,18134,0.025,0.112
Sample_0.025_0.112,12,1391,0.11154749755674942,71.61,18899,0.025,0.112
Sample_0.025_0.112,13,1441,0.11364781308887273,74.24,19716,0.025,0.112
Sample_0.025_0.112,14,1494,0.11426132926525878,77.08,20588,0.025,0.112
Sample_0.025_0.112,15,1551,0.11635402954624374,79.82,21532,0.025,0.112
Sample_0.025_0.112,16,1611,0.11781551722026684,82.69,22532,0.025,0.112
Sample_0.025_0.112,17,1675,0.11949245139565212,85.49,23605,0.025,0.112
Sample_0.025_0.112,18,1743,0.11987474022778799,88.42,24754,0.025,0.112
Sample_0.025_0.112,19,1816,0.12047640866010711,91.5,25995,0.025,0.112
Sample_0.025_0.112,20,1894,0.12165284242935215,94.67,27331,0.025,0.112
Sample_0.025_0.112,21,1977,0.12157902705203139,98.1,28762,0.025,0.112
Sample_0.025_0.112,22,2065,0.12276934111604931,101.25,30292,0.025,0.112
Sample_0.025_0.112,23,2159,0.12318567682675496,104.98,31939,0.025,0.112
Sample_0.025_0.112,24,2259,0.12294536674058909,108.79,33704,0.025,0.112
Sample_0.025_0.112,25,2366,0.12276577409929867,112.43,35608,0.025,0.112
Sample_0.025_0.112,26,2480,0.12333257272028075,116.77,37653,0.025,0.112
Sample_0.025_0.112,27,2602,0.12304259937037632,121.04,39860,0.025,0.112
Sample_0.025_0.112,28,2733,0.1243250794626285,125.27,42249,0.025,0.112
Sample_0.025_0.112,29,2873,0.12375691035460457,129.72,44825,0.025,0.112
